"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","6","2.1","1.2","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","8","2.1","1.3","2.0","0.0"
"3","","David Johnson","ARI","RB3","9","1","11","3.7","2.0","3.0","0.0"
"4","","Antonio Brown","PIT","WR1","7","1","11","4.3","1.8","5.0","+1.0"
"5","","Ezekiel Elliott","DAL","RB4","8","1","15","5.5","2.8","4.0","-1.0"
"6","","DeAndre Hopkins","HOU","WR2","10","1","24","7.7","2.9","8.0","+2.0"
"7","","Alvin Kamara","NO","RB5","6","2","22","7.8","4.0","6.0","-1.0"
"8","","Odell Beckham Jr.","NYG","WR3","9","3","16","8.7","2.7","11.0","+3.0"
"9","","Saquon Barkley","NYG","RB6","9","3","23","9.4","4.0","7.0","-2.0"
"10","","Julio Jones","ATL","WR4","8","2","20","10.5","2.9","13.0","+3.0"
"11","","Michael Thomas","NO","WR5","6","3","19","11.9","3.1","15.0","+4.0"
"12","","Keenan Allen","LAC","WR6","8","5","22","13.0","3.6","17.0","+5.0"
"13","","Melvin Gordon","LAC","RB7","8","5","33","13.4","5.8","10.0","-3.0"
"14","","Kareem Hunt","KC","RB8","12","6","33","15.0","5.7","9.0","-5.0"
"15","","A.J. Green","CIN","WR7","9","6","27","16.0","3.4","19.0","+4.0"
"16","","Davante Adams","GB","WR8","7","9","37","16.9","4.5","18.0","+2.0"
"17","","Leonard Fournette","JAC","RB9","9","7","51","18.1","7.4","12.0","-5.0"
"18","","Christian McCaffrey","CAR","RB10","4","6","73","18.4","8.8","16.0","-2.0"
"19","","Dalvin Cook","MIN","RB11","10","8","39","20.1","6.4","14.0","-5.0"
"20","","Mike Evans","TB","WR9","5","12","45","23.1","5.8","22.0","+2.0"
"21","","Rob Gronkowski","NE","TE1","11","14","53","23.3","6.9","21.0","0.0"
"22","","Devonta Freeman","ATL","RB12","8","13","71","25.2","8.9","20.0","-2.0"
"23","","T.Y. Hilton","IND","WR10","9","13","59","25.4","6.6","29.0","+6.0"
"24","","Adam Thielen","MIN","WR11","10","10","84","27.6","9.4","31.0","+7.0"
"25","","Larry Fitzgerald","ARI","WR12","9","3","74","27.8","8.9","33.0","+8.0"
"26","","Travis Kelce","KC","TE2","12","17","51","28.0","7.5","27.0","+1.0"
"27","","Doug Baldwin","SEA","WR13","7","17","49","28.0","6.1","34.0","+7.0"
"28","","Jerick McKinnon","SF","RB13","11","16","78","29.5","12.5","26.0","-2.0"
"29","","Stefon Diggs","MIN","WR14","10","16","83","29.6","8.9","30.0","+1.0"
"30","","Joe Mixon","CIN","RB14","9","14","77","31.2","9.7","23.0","-7.0"
"31","","Tyreek Hill","KC","WR15","12","19","76","32.3","7.9","28.0","-3.0"
"32","","Amari Cooper","OAK","WR16","7","15","91","34.8","11.3","36.0","+4.0"
"33","","Jordan Howard","CHI","RB15","5","21","89","34.8","10.0","24.0","-9.0"
"34","","Demaryius Thomas","DEN","WR17","10","13","90","35.9","10.2","41.0","+7.0"
"35","","Zach Ertz","PHI","TE3","9","14","74","36.6","9.2","35.0","0.0"
"36","","Golden Tate","DET","WR18","6","23","82","37.3","8.9","44.0","+8.0"
"37","","LeSean McCoy","BUF","RB16","11","11","106","37.5","17.0","25.0","-12.0"
"38","","Jarvis Landry","CLE","WR19","11","20","75","37.6","10.5","38.0","0.0"
"39","","Aaron Rodgers","GB","QB1","7","29","73","38.7","7.1","32.0","-7.0"
"40","","Allen Robinson","CHI","WR20","5","20","144","44.3","18.0","45.0","+5.0"
"41","","Alex Collins","BAL","RB17","10","21","83","44.5","12.5","39.0","-2.0"
"42","","Kenyan Drake","MIA","RB18","11","17","103","46.6","15.3","37.0","-5.0"
"43","","JuJu Smith-Schuster","PIT","WR21","7","28","92","46.9","11.1","42.0","-1.0"
"44","","Russell Wilson","SEA","QB2","7","32","88","51.7","12.5","54.0","+10.0"
"45","","Marvin Jones","DET","WR22","6","33","91","52.9","11.0","53.0","+8.0"
"46","","Tom Brady","NE","QB3","11","28","82","53.1","11.6","51.0","+5.0"
"47","","Brandin Cooks","LAR","WR23","12","25","109","51.6","14.1","43.0","-4.0"
"48","","Josh Gordon","CLE","WR24","11","14","121","54.6","18.1","49.0","+1.0"
"49","","Lamar Miller","HOU","RB19","10","30","104","54.7","15.9","50.0","+1.0"
"50","","Jay Ajayi","PHI","RB20","9","19","113","55.0","15.3","46.0","-4.0"
"51","","Corey Davis","TEN","WR25","8","25","123","57.8","16.4","60.0","+9.0"
"52","","Dion Lewis","TEN","RB21","8","28","126","58.4","16.0","56.0","+4.0"
"53","","Cam Newton","CAR","QB4","4","34","94","58.4","13.2","62.0","+9.0"
"54","","Deshaun Watson","HOU","QB5","10","32","116","60.1","13.2","48.0","-6.0"
"55","","Royce Freeman","DEN","RB22","10","25","120","58.6","17.1","47.0","-8.0"
"56","","Michael Crabtree","BAL","WR26","10","28","128","59.1","17.7","64.0","+8.0"
"57","","Chris Hogan","NE","WR27","11","31","131","59.1","20.0","57.0","0.0"
"58","","Greg Olsen","CAR","TE4","4","18","120","62.3","15.3","58.0","0.0"
"59","","Derrick Henry","TEN","RB23","8","34","113","61.2","16.0","40.0","-19.0"
"60","","Alshon Jeffery","PHI","WR28","9","29","139","61.3","18.7","59.0","-1.0"
"61","","Mark Ingram","NO","RB24","6","36","140","63.9","17.7","52.0","-9.0"
"62","","Emmanuel Sanders","DEN","WR29","10","42","123","66.7","15.9","78.0","+16.0"
"63","","Drew Brees","NO","QB6","6","46","107","70.1","13.7","77.0","+14.0"
"64","","Evan Engram","NYG","TE5","9","27","129","71.0","16.0","61.0","-3.0"
"65","","Delanie Walker","TEN","TE6","8","48","114","71.0","12.6","74.0","+9.0"
"66","","Sammy Watkins","KC","WR30","12","38","122","68.9","17.0","76.0","+10.0"
"67","","Jamison Crowder","WAS","WR31","4","43","112","70.8","16.3","88.0","+21.0"
"68","","Jimmy Graham","GB","TE7","7","27","128","72.5","17.4","55.0","-13.0"
"69","","Rex Burkhead","NE","RB25","11","33","158","74.2","26.5","69.0","0.0"
"70","","Marquise Goodwin","SF","WR32","11","30","125","73.6","20.3","65.0","-5.0"
"71","","Carson Wentz","PHI","QB7","9","35","156","77.3","20.7","71.0","0.0"
"72","","Cooper Kupp","LAR","WR33","12","46","116","76.7","14.8","89.0","+17.0"
"73","","Pierre Garcon","SF","WR34","11","36","140","75.5","18.5","90.0","+17.0"
"74","","Kyle Rudolph","MIN","TE8","10","18","133","79.0","18.5","81.0","+7.0"
"75","","Marshawn Lynch","OAK","RB26","7","43","133","78.6","17.9","63.0","-12.0"
"76","","Robby Anderson","NYJ","WR35","11","39","186","78.9","19.9","96.0","+20.0"
"77","","Tevin Coleman","ATL","RB27","8","35","134","76.1","20.3","67.0","-10.0"
"78","","Robert Woods","LAR","WR36","12","39","157","77.6","19.2","83.0","+5.0"
"79","","Randall Cobb","GB","WR37","7","42","141","77.6","21.1","92.0","+13.0"
"80","","Kirk Cousins","MIN","QB8","10","46","121","81.2","17.1","95.0","+15.0"
"81","","Chris Thompson","WAS","RB28","4","39","215","79.8","26.5","80.0","-1.0"
"82","","Duke Johnson","CLE","RB29","11","26","186","83.3","27.6","84.0","+2.0"
"83","","Andrew Luck","IND","QB9","9","41","180","86.5","22.0","93.0","+10.0"
"84","","Kerryon Johnson","DET","RB30","6","27","164","83.2","24.2","70.0","-14.0"
"85","","Matthew Stafford","DET","QB10","6","54","152","88.8","17.8","100.0","+15.0"
"86","","Devin Funchess","CAR","WR38","4","44","191","85.2","19.8","85.0","-1.0"
"87","","Tarik Cohen","CHI","RB31","5","40","143","84.6","20.8","82.0","-5.0"
"88","","Julian Edelman","NE","WR39","11","50","211","87.0","22.6","73.0","-15.0"
"89","","Sony Michel","NE","RB32","11","42","162","88.7","23.2","79.0","-10.0"
"90","","Trey Burton","CHI","TE9","5","27","200","92.8","24.3","91.0","+1.0"
"91","","Jordan Reed","WAS","TE10","4","25","166","93.6","20.8","87.0","-4.0"
"92","","Nelson Agholor","PHI","WR40","9","54","160","91.6","18.4","104.0","+12.0"
"93","","Will Fuller","HOU","WR41","10","63","147","91.7","16.4","75.0","-18.0"
"94","","Jordy Nelson","OAK","WR42","7","39","149","93.6","19.1","94.0","0.0"
"95","","Carlos Hyde","CLE","RB33","11","48","146","95.1","24.3","72.0","-23.0"
"96","","Rashaad Penny","SEA","RB34","7","40","175","93.0","26.7","66.0","-30.0"
"97","","Ben Roethlisberger","PIT","QB11","7","53","150","99.7","16.9","103.0","+6.0"
"98","","Jack Doyle","IND","TE11","9","57","142","100.4","16.2","107.0","+9.0"
